city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Dover,Dover,39.16,-75.5204,United States,US,USA,Delaware,,116114
El Monte,El Monte,34.0739,-118.0291,United States,US,USA,California,,115807
Rock Hill,Rock Hill,34.9413,-81.026,United States,US,USA,South Carolina,,115755
Abilene,Abilene,32.4543,-99.7384,United States,US,USA,Texas,,115285
Rochester,Rochester,44.0152,-92.4776,United States,US,USA,Minnesota,,114976
Norman,Norman,35.2335,-97.3471,United States,US,USA,Oklahoma,,114444
Clearwater,Clearwater,27.9787,-82.7623,United States,US,USA,Florida,,114361
Utica,Utica,43.0961,-75.226,United States,US,USA,New York,,114350
Bloomington,Bloomington,39.1637,-86.5257,United States,US,USA,Indiana,,114140
Carlsbad,Carlsbad,33.1246,-117.2836,United States,US,USA,California,,113952
Westminster,Westminster,39.8837,-105.0627,United States,US,USA,Colorado,,113875
Texas City,Texas City,29.4127,-94.9658,United States,US,USA,Texas,,113847
West Jordan,West Jordan,40.6024,-112.0008,United States,US,USA,Utah,,113699
Saint Cloud,Saint Cloud,45.5339,-94.1718,United States,US,USA,Minnesota,,113649
Pearland,Pearland,29.5585,-95.3201,United States,US,USA,Texas,,113570
Richardson,Richardson,32.9717,-96.7092,United States,US,USA,Texas,,113347
Downey,Downey,33.9379,-118.1312,United States,US,USA,California,,113267
Miami Gardens,Miami Gardens,25.9433,-80.2425,United States,US,USA,Florida,,113058
Temecula,Temecula,33.4928,-117.1315,United States,US,USA,California,,113054
Costa Mesa,Costa Mesa,33.6667,-117.9135,United States,US,USA,California,,112822
Waterloo,Waterloo,42.492,-92.3522,United States,US,USA,Iowa,,112635
Elgin,Elgin,42.0385,-88.3227,United States,US,USA,Illinois,,112123
Coeur d'Alene,Coeur d'Alene,47.7041,-116.7928,United States,US,USA,Idaho,,112088
El Centro,El Centro,32.7873,-115.5578,United States,US,USA,California,,111733
Gresham,Gresham,45.5023,-122.4414,United States,US,USA,Oregon,,111523
Saint George,Saint George,37.0769,-113.5771,United States,US,USA,Utah,,111090
Gilroy,Gilroy,37.0048,-121.5843,United States,US,USA,California,,111004
Inglewood,Inglewood,33.9566,-118.3444,United States,US,USA,California,,110654
Cambridge,Cambridge,42.3758,-71.1184,United States,US,USA,Massachusetts,,110651
Lowell,Lowell,42.6389,-71.3217,United States,US,USA,Massachusetts,,110558
Santa Fe,Santa Fe,35.6619,-105.9818,United States,US,USA,New Mexico,admin,110208
Centennial,Centennial,39.5927,-104.8674,United States,US,USA,Colorado,,109932
Richmond,Richmond,37.9477,-122.339,United States,US,USA,California,,109813
Pompano Beach,Pompano Beach,26.2428,-80.1312,United States,US,USA,Florida,,109393
North Charleston,North Charleston,32.9086,-80.0705,United States,US,USA,South Carolina,,109298
